latitude,longitude,date,hour
41.106,-106.167,2020-09-26,0845
41.104,-106.15,2020-09-26,0845
41.107,-106.29,2020-09-26,0845
41.105,-106.273,2020-09-26,0845
41.103,-106.256,2020-09-26,0845
41.102,-106.23899999999999,2020-09-26,0845
41.1,-106.221,2020-09-26,0845
41.098,-106.20299999999999,2020-09-26,0845
41.104,-106.381,2020-09-26,0845
41.103,-106.36399999999999,2020-09-26,0845
41.101000000000006,-106.346,2020-09-26,0845
41.098,-106.31,2020-09-26,0845
41.096000000000004,-106.292,2020-09-26,0845
41.093999999999994,-106.275,2020-09-26,0845
41.103,-106.296,2020-09-26,0845
41.101000000000006,-106.279,2020-09-26,0845
41.099,-106.26299999999999,2020-09-26,0845
41.097,-106.245,2020-09-26,0845
41.096000000000004,-106.227,2020-09-26,0845
41.101000000000006,-106.387,2020-09-26,0845
41.099,-106.369,2020-09-26,0845
41.097,-106.353,2020-09-26,0845
41.096000000000004,-106.335,2020-09-26,0845
41.093999999999994,-106.31700000000001,2020-09-26,0845
41.092,-106.29899999999999,2020-09-26,0845
41.085,-106.336,2020-09-26,0845
40.707,-105.72399999999999,2020-09-26,0845
40.34,-123.291,2020-09-26,1025
40.056999999999995,-122.90100000000001,2020-09-26,1025
40.055,-122.887,2020-09-26,1025
40.053000000000004,-122.90700000000001,2020-09-26,1025
40.051,-122.895,2020-09-26,1025
40.049,-122.881,2020-09-26,1025
33.93,-111.781,2020-09-26,1815
33.924,-111.805,2020-09-26,1815
33.923,-111.79299999999999,2020-09-26,1815
33.921,-111.78299999999999,2020-09-26,1815
33.916,-111.81200000000001,2020-09-26,1815
33.915,-111.801,2020-09-26,1815
33.907,-111.814,2020-09-26,1815
32.452,-114.84700000000001,2020-09-26,1815
41.173,-106.14,2020-09-26,1810
41.17100000000001,-106.12799999999999,2020-09-26,1810
41.169,-106.115,2020-09-26,1810
41.162,-106.07700000000001,2020-09-26,1810
41.17,-106.181,2020-09-26,1810
41.168,-106.169,2020-09-26,1810
41.166000000000004,-106.156,2020-09-26,1810
41.163999999999994,-106.14299999999999,2020-09-26,1810
41.162,-106.131,2020-09-26,1810
41.157,-106.15899999999999,2020-09-26,1810
41.14,-106.056,2020-09-26,1810
41.144,-106.13600000000001,2020-09-26,1810
41.141000000000005,-106.124,2020-09-26,1810
41.138999999999996,-106.111,2020-09-26,1810
41.137,-106.098,2020-09-26,1810
41.135,-106.085,2020-09-26,1810
41.133,-106.072,2020-09-26,1810
41.131,-106.059,2020-09-26,1810
41.138999999999996,-106.164,2020-09-26,1810
41.136,-106.15100000000001,2020-09-26,1810
41.132,-106.126,2020-09-26,1810
41.13,-106.113,2020-09-26,1810
41.128,-106.1,2020-09-26,1810
41.126000000000005,-106.088,2020-09-26,1810
41.123999999999995,-106.075,2020-09-26,1810
41.121,-106.116,2020-09-26,1810
41.119,-106.103,2020-09-26,1810
41.117,-106.09,2020-09-26,1810
41.114,-106.07700000000001,2020-09-26,1810
41.111999999999995,-106.065,2020-09-26,1810
41.12,-106.169,2020-09-26,1810
41.118,-106.156,2020-09-26,1810
41.11600000000001,-106.14399999999999,2020-09-26,1810
41.114,-106.131,2020-09-26,1810
41.111999999999995,-106.118,2020-09-26,1810
41.11,-106.10600000000001,2020-09-26,1810
41.107,-106.09299999999999,2020-09-26,1810
41.108999999999995,-106.15899999999999,2020-09-26,1810
41.107,-106.146,2020-09-26,1810
41.105,-106.134,2020-09-26,1810
41.103,-106.12100000000001,2020-09-26,1810
41.1,-106.10799999999999,2020-09-26,1810
