latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.63377,-87.13247,309.9,0.52,0.67,2020-09-26,0642,N,nominal,2.0NRT,281.5,2.4,N
41.62683,-87.36904,325.2,0.53,0.67,2020-09-26,0642,N,nominal,2.0NRT,286.5,3.8,N
41.62698,-87.37566,300.1,0.53,0.67,2020-09-26,0642,N,nominal,2.0NRT,284.7,3.3,N
41.4665,-83.36864,309.6,0.33,0.55,2020-09-26,0642,N,nominal,2.0NRT,287.1,1.8,N
41.46626,-83.36459,310.1,0.33,0.55,2020-09-26,0642,N,nominal,2.0NRT,287.3,1.4,N
41.61963,-87.32945,299.4,0.53,0.67,2020-09-26,0642,N,nominal,2.0NRT,286.7,1.6,N
41.46111,-83.36511,304.7,0.33,0.55,2020-09-26,0642,N,nominal,2.0NRT,287.7,0.7,N
41.21493,-80.12777,304.8,0.45,0.47,2020-09-26,0642,N,nominal,2.0NRT,282.2,0.8,N
40.66855,-75.2219,295.8,0.42,0.38,2020-09-26,0642,N,nominal,2.0NRT,284.7,0.3,N
40.89341,-77.71249,320.2,0.51,0.41,2020-09-26,0642,N,nominal,2.0NRT,285,3.7,N
41.37421,-84.92281,299.9,0.4,0.6,2020-09-26,0642,N,nominal,2.0NRT,287.9,1,N
41.37043,-84.92445,306.8,0.4,0.6,2020-09-26,0642,N,nominal,2.0NRT,289.3,2,N
41.36998,-84.9147,301,0.4,0.6,2020-09-26,0642,N,nominal,2.0NRT,286.9,2.1,N
41.36486,-84.92494,312.9,0.4,0.6,2020-09-26,0642,N,nominal,2.0NRT,286.3,2,N
41.36463,-84.92006,302.6,0.4,0.6,2020-09-26,0642,N,nominal,2.0NRT,286.1,1.5,N
41.2265,-83.20777,309.3,0.32,0.55,2020-09-26,0642,N,nominal,2.0NRT,287.6,1.3,N
41.2214,-83.20825,298.2,0.32,0.55,2020-09-26,0642,N,nominal,2.0NRT,286.5,0.7,N
40.996,-80.5219,295.4,0.47,0.47,2020-09-26,0642,N,nominal,2.0NRT,284.2,0.4,N
40.99695,-80.522,296.8,0.47,0.47,2020-09-26,0642,N,nominal,2.0NRT,284.1,0.7,N
40.47132,-75.89423,300.3,0.44,0.38,2020-09-26,0642,N,nominal,2.0NRT,284.4,1.4,N
40.15506,-74.76923,299.8,0.41,0.37,2020-09-26,0642,N,nominal,2.0NRT,282.2,0.9,N
40.15167,-74.77,304.2,0.41,0.37,2020-09-26,0642,N,nominal,2.0NRT,282.7,1.1,N
40.13606,-74.80559,308.9,0.41,0.37,2020-09-26,0642,N,nominal,2.0NRT,281.7,1.2,N
40.75398,-81.43692,297.2,0.52,0.5,2020-09-26,0642,N,nominal,2.0NRT,285.5,1.2,N
40.75501,-81.43696,296.1,0.52,0.5,2020-09-26,0642,N,nominal,2.0NRT,285.9,0.8,N
40.72111,-84.12426,303.8,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,290.2,1.2,N
40.39654,-79.85527,300.4,0.42,0.46,2020-09-26,0642,N,nominal,2.0NRT,286.3,2.2,N
40.39235,-79.85609,324.6,0.42,0.46,2020-09-26,0642,N,nominal,2.0NRT,287.7,2.2,N
40.39186,-79.85097,318.1,0.42,0.46,2020-09-26,0642,N,nominal,2.0NRT,286,2.3,N
40.73503,-86.43361,303.8,0.47,0.64,2020-09-26,0642,N,nominal,2.0NRT,286.7,1.3,N
40.57167,-83.13988,296.2,0.63,0.54,2020-09-26,0642,N,nominal,2.0NRT,285.1,1.1,N
40.30482,-79.88053,297.1,0.43,0.46,2020-09-26,0642,N,nominal,2.0NRT,286.6,0.6,N
40.30437,-79.87546,301.4,0.43,0.46,2020-09-26,0642,N,nominal,2.0NRT,288.3,1.8,N
40.30524,-79.87604,302.7,0.42,0.46,2020-09-26,0642,N,nominal,2.0NRT,288.8,1.6,N
40.73373,-86.43224,299.5,0.47,0.64,2020-09-26,0642,N,nominal,2.0NRT,286.7,1.3,N
40.30054,-79.87166,298.1,0.42,0.46,2020-09-26,0642,N,nominal,2.0NRT,286.4,0.9,N
40.341,-80.60439,296.4,0.46,0.47,2020-09-26,0642,N,nominal,2.0NRT,285.6,0.8,N
39.97668,-86.83604,302.1,0.49,0.65,2020-09-26,0642,N,nominal,2.0NRT,287,2.1,N
39.87424,-86.48872,308.5,0.47,0.64,2020-09-26,0642,N,nominal,2.0NRT,287.6,1.1,N
39.87226,-86.48769,308.4,0.47,0.64,2020-09-26,0642,N,nominal,2.0NRT,286.6,1.6,N
39.61782,-82.5288,296.2,0.57,0.52,2020-09-26,0642,N,nominal,2.0NRT,285.9,0.5,N
39.48618,-84.36362,307.5,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,288.9,1,N
39.48198,-84.38554,300.3,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,289.1,1.6,N
39.48153,-84.37699,316.4,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,288.5,1,N
39.4722,-84.40372,299.9,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,288.5,0.5,N
39.47197,-84.39944,306.6,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,289.2,0.5,N
